연번,대별코드,대,이름,성별,정당명,재직구분,선거구,재선,당선,선거구구분
1,100021,제21대,강기윤,남,국민의힘,60999,경남 창원시성산구,2,"제19대, 제21대",지역구
2,100021,제21대,강대식,남,미래통합당,60999,대구 동구을,1,제21대,지역구
3,100021,제21대,강득구,남,더불어민주당,60999,경기 안양시만안구,1,제21대,지역구
4,100021,제21대,강민국,남,미래통합당,60999,경남 진주시을,1,제21대,지역구
5,100021,제21대,강민정,여,더불어민주당,60999,비례대표,1,제21대,비례대표
6,100021,제21대,강병원,남,더불어민주당,60999,서울 은평구을,2,"제20대, 제21대",지역구
7,100021,제21대,강선우,여,더불어민주당,60999,서울 강서구갑,1,제21대,지역구
8,100021,제21대,강성희,남,진보당,60999,전북 전주시을,1,제21대,지역구
9,100021,제21대,강은미,여,정의당,60999,비례대표,1,제21대,비례대표
10,100021,제21대,강준현,남,더불어민주당,60999,세종특별자치시을,1,제21대,지역구
11,100021,제21대,강훈식,남,더불어민주당,60999,충남 아산시을,2,"제20대, 제21대",지역구
12,100021,제21대,고민정,여,더불어민주당,60999,서울 광진구을,1,제21대,지역구
13,100021,제21대,고영인,남,더불어민주당,60999,경기 안산시단원구갑,1,제21대,지역구
14,100021,제21대,고용진,남,더불어민주당,60999,서울 노원구갑,2,"제20대, 제21대",지역구
15,100021,제21대,곽상도,남,무소속,60999,대구 중구남구,2,"제20대, 제21대",지역구
16,100021,제21대,구자근,남,미래통합당,60999,경북 구미시갑,1,제21대,지역구
17,100021,제21대,권명호,남,국민의힘,60999,울산 동구,1,제21대,지역구
18,100021,제21대,권성동,남,무소속,60999,강원 강릉시,4,"제18대, 제19대, 제20대, 제21대",지역구
19,100021,제21대,권영세,남,미래통합당,60999,서울 용산구,4,"제16대, 제17대, 제18대, 제21대",지역구
20,100021,제21대,권은희,여,국민의힘,60999,비례대표,3,"제19대, 제20대, 제21대",비례대표
21,100021,제21대,권인숙,여,더불어민주당,60999,비례대표,1,제21대,비례대표
22,100021,제21대,권칠승,남,더불어민주당,60999,경기 화성시병,2,"제20대, 제21대",지역구
23,100021,제21대,기동민,남,더불어민주당,60999,서울 성북구을,2,"제20대, 제21대",지역구
24,100021,제21대,김경만,남,더불어민주당,60999,비례대표,1,제21대,비례대표
25,100021,제21대,김경협,남,더불어민주당,60999,경기 부천시갑,3,"제19대, 제20대, 제21대",지역구
26,100021,제21대,김교흥,남,더불어민주당,60999,인천 서구갑,2,"제17대, 제21대",지역구
27,100021,제21대,김근태,남,국민의힘,60999,비례대표,1,제21대,비례대표
28,100021,제21대,김기현,남,미래통합당,60999,울산 남구을,4,"제17대, 제18대, 제19대, 제21대",지역구
29,100021,제21대,김남국,남,더불어민주당,60999,경기 안산시단원구을,1,제21대,지역구
30,100021,제21대,김도읍,남,미래통합당,60999,부산 북구강서구을,3,"제19대, 제20대, 제21대",지역구
31,100021,제21대,김두관,남,더불어민주당,60999,경남 양산시을,2,"제20대, 제21대",지역구
32,100021,제21대,김미애,여,미래통합당,60999,부산 해운대구을,1,제21대,지역구
33,100021,제21대,김민기,남,더불어민주당,60999,경기 용인시을,3,"제19대, 제20대, 제21대",지역구
34,100021,제21대,김민석,남,더불어민주당,60999,서울 영등포구을,3,"제15대, 제16대, 제21대",지역구
35,100021,제21대,김민철,남,더불어민주당,60999,경기 의정부시을,1,제21대,지역구
36,100021,제21대,김병기,남,더불어민주당,60999,서울 동작구갑,2,"제20대, 제21대",지역구
37,100021,제21대,김병욱,남,더불어민주당,60999,경기 성남시분당구을,2,"제20대, 제21대",지역구
38,100021,제21대,김병욱,남,국민의힘,60999,경북 포항시남구울릉군,1,제21대,지역구
39,100021,제21대,김병주,남,더불어시민당,60999,비례대표,1,제21대,비례대표
40,100021,제21대,김상훈,남,미래통합당,60999,대구 서구,3,"제19대, 제20대, 제21대",지역구
41,100021,제21대,김상희,여,더불어민주당,60999,경기 부천시병,4,"제18대, 제19대, 제20대, 제21대",지역구
42,100021,제21대,김석기,남,미래통합당,60999,경북 경주시,2,"제20대, 제21대",지역구
43,100021,제21대,김선교,남,미래통합당,60999,경기 여주시양평군,1,제21대,지역구
44,100021,제21대,김성원,남,미래통합당,60999,경기 동두천시연천군,2,"제20대, 제21대",지역구
45,100021,제21대,김성주,남,더불어민주당,60999,전북 전주시병,2,"제19대, 제21대",지역구
46,100021,제21대,김성환,남,더불어민주당,60999,서울 노원구병,2,"제20대, 제21대",지역구
47,100021,제21대,김수흥,남,더불어민주당,60999,전북 익산시갑,1,제21대,지역구
48,100021,제21대,김승남,남,더불어민주당,60999,전남 고흥군보성군장흥군강진군,2,"제19대, 제21대",지역구
49,100021,제21대,김승수,남,미래통합당,60999,대구 북구을,1,제21대,지역구
50,100021,제21대,김승원,남,더불어민주당,60999,경기 수원시갑,1,제21대,지역구
51,100021,제21대,김영배,남,더불어민주당,60999,서울 성북구갑,1,제21대,지역구
