member_id,name,party_id,party,committee_id,district,gender,age,birthdate,elected_time,elected_type,start_date,end_date,exit_reason
7357,강기윤,106,국민의힘,13,경남 창원시성산구,남,63,1960-06-04,2,지역구,,,
7358,강대식,104,미래통합당,14,대구 동구을,남,64,1959-11-02,1,지역구,,,
7359,강득구,101,더불어민주당,2,경기 안양시만안구,남,61,1963-05-27,1,지역구,,,
7360,강민국,104,미래통합당,19,경남 진주시을,남,53,1971-03-03,1,지역구,,,
7361,강민정,101,더불어민주당,12,비례대표,여,63,1961-04-26,1,비례대표,,,
7362,강병원,101,더불어민주당,21,서울 은평구을,남,52,1971-07-09,2,지역구,,,
7363,강선우,101,더불어민주당,14,서울 강서구갑,여,45,1978-06-02,1,지역구,,,
8746,강성희,114,진보당,17,전북 전주시을,남,51,1972-09-07,1,지역구,,,
7364,강은미,107,정의당,13,비례대표,여,53,1970-09-06,1,비례대표,,,
7365,강준현,101,더불어민주당,5,세종특별자치시을,남,59,1964-08-19,1,지역구,,,
7366,강훈식,101,더불어민주당,17,충남 아산시을,남,50,1973-10-24,2,지역구,,,
7367,고민정,101,더불어민주당,1,서울 광진구을,여,44,1979-08-23,1,지역구,,,
7368,고영인,101,더불어민주당,5,경기 안산시단원구갑,남,60,1963-07-07,1,지역구,,,
7369,고용진,101,더불어민주당,14,서울 노원구갑,남,59,1964-08-06,2,지역구,,,
7370,곽상도,100,무소속,14,대구 중구남구,남,64,1959-12-23,2,지역구,,,
7371,구자근,104,미래통합당,20,경북 구미시갑,남,56,1967-10-09,1,지역구,,,
7372,권명호,106,국민의힘,14,울산 동구,남,63,1961-01-10,1,지역구,,,
7373,권성동,100,무소속,21,강원 강릉시,남,64,1960-04-29,4,지역구,,,
7374,권영세,104,미래통합당,4,서울 용산구,남,65,1959-02-24,4,지역구,2020-05-30,2024-05-29,
7375,권은희,106,국민의힘,2,비례대표,여,50,1974-02-15,3,비례대표,,,
7376,권인숙,101,더불어민주당,21,비례대표,여,59,1964-08-28,1,비례대표,,,
7377,권칠승,101,더불어민주당,9,경기 화성시병,남,58,1965-11-18,2,지역구,,,
7378,기동민,101,더불어민주당,14,서울 성북구을,남,58,1966-02-23,2,지역구,,,
7379,김경만,101,더불어민주당,14,비례대표,남,61,1962-09-23,1,비례대표,,,
7380,김경협,101,더불어민주당,15,경기 부천시갑,남,61,1962-11-07,3,지역구,,,
7381,김교흥,101,더불어민주당,21,인천 서구갑,남,63,1960-08-30,2,지역구,,,
10,김근태,106,국민의힘,2,비례대표,남,33,1990-11-25,1,비례대표,,,
7382,김기현,104,미래통합당,21,울산 남구을,남,65,1959-02-21,4,지역구,,,
7383,김남국,101,더불어민주당,2,경기 안산시단원구을,남,41,1982-10-22,1,지역구,,,
7384,김도읍,104,미래통합당,9,부산 북구강서구을,남,59,1964-07-06,3,지역구,,,
7385,김두관,101,더불어민주당,20,경남 양산시을,남,65,1959-04-10,2,지역구,,,
7386,김미애,104,미래통합당,10,부산 해운대구을,여,54,1969-10-06,1,지역구,,,
7387,김민기,101,더불어민주당,4,경기 용인시을,남,58,1966-04-28,3,지역구,,,
7388,김민석,101,더불어민주당,13,서울 영등포구을,남,60,1964-05-29,3,지역구,,,
7389,김민철,101,더불어민주당,14,경기 의정부시을,남,56,1967-11-18,1,지역구,,,
7390,김병기,101,더불어민주당,4,서울 동작구갑,남,62,1961-07-10,2,지역구,,,
7391,김병욱,101,더불어민주당,1,경기 성남시분당구을,남,59,1965-04-15,2,지역구,,,
7392,김병욱,106,국민의힘,14,경북 포항시남구울릉군,남,47,1977-04-30,1,지역구,,,
7393,김병주,102,더불어시민당,5,비례대표,남,62,1962-02-07,1,비례대표,,,
7394,김상훈,104,미래통합당,5,대구 서구,남,61,1963-01-25,3,지역구,,,
7395,김상희,101,더불어민주당,23,경기 부천시병,여,70,1954-05-18,4,지역구,,,
7396,김석기,104,미래통합당,15,경북 경주시,남,69,1954-08-06,2,지역구,,,
7397,김선교,104,미래통합당,12,경기 여주시양평군,남,63,1960-09-18,1,지역구,,,
7398,김성원,104,미래통합당,5,경기 동두천시연천군,남,50,1973-10-15,2,지역구,,,
7399,김성주,101,더불어민주당,13,전북 전주시병,남,60,1964-04-10,2,지역구,,,
7400,김성환,101,더불어민주당,24,서울 노원구병,남,58,1965-10-15,2,지역구,,,
7401,김수흥,101,더불어민주당,14,전북 익산시갑,남,63,1961-04-29,1,지역구,,,
7402,김승남,101,더불어민주당,7,전남 고흥군보성군장흥군강진군,남,58,1965-10-06,2,지역구,,,
7403,김승수,104,미래통합당,14,대구 북구을,남,58,1965-07-05,1,지역구,,,
7404,김승원,101,더불어민주당,14,경기 수원시갑,남,54,1969-07-08,1,지역구,,,
7405,김영배,101,더불어민주당,5,서울 성북구갑,남,57,1967-03-08,1,지역구,,,
995,김영선,106,국민의힘,23,경남 창원시의창구,여,64,1960-05-16,5,지역구,,,
7406,김영식,106,국민의힘,14,경북 구미시을,남,64,1959-07-18,1,지역구,,,
7407,김영주,106,국민의힘,10,서울 영등포구갑,여,68,1955-07-27,4,지역구,,,
7408,김영진,101,더불어민주당,22,경기 수원시병,남,56,1967-09-10,2,지역구,,,
7409,김영호,101,더불어민주당,14,서울 서대문구을,남,56,1967-09-13,2,지역구,,,
7410,김예지,105,미래한국당,8,비례대표,여,43,1980-12-13,1,비례대표,,,
7411,김용민,101,더불어민주당,11,경기 남양주시병,남,47,1976-06-05,1,지역구,,,
7412,김용판,106,국민의힘,21,대구 달서구병,남,66,1958-01-05,1,지역구,,,
7413,김웅,106,국민의힘,14,서울 송파구갑,남,54,1970-05-05,1,지역구,,,
7414,김원이,101,더불어민주당,10,전남 목포시,남,55,1968-11-11,1,지역구,,,
7415,김윤덕,101,더불어민주당,8,전북 전주시갑,남,58,1966-05-23,2,지역구,,,
7416,김은혜,104,미래통합당,14,경기 성남시분당구갑,여,53,1971-01-06,1,지역구,,,
11,김은희,106,국민의힘,1,비례대표,여,32,1991-06-10,1,비례대표,,,
7657,김의겸,101,더불어민주당,22,비례대표,남,61,1963-05-22,1,비례대표,,,
7417,김정재,104,미래통합당,14,경북 포항시북구,여,58,1966-02-15,2,지역구,,,
7418,김정호,101,더불어민주당,24,경남 김해시을,남,63,1960-06-18,2,지역구,,,
7419,김종민,101,더불어민주당,17,충남 논산시계룡시금산군,남,60,1964-05-12,2,지역구,,,
7420,김주영,101,더불어민주당,6,경기 김포시갑,남,62,1961-10-15,1,지역구,,,
7421,김진애,103,열린민주당,4,비례대표,여,71,1953-02-16,2,비례대표,,,
7422,김진표,100,무소속,3,경기 수원시무,남,77,1947-05-04,5,지역구,,,
7423,김철민,101,더불어민주당,2,경기 안산시상록구을,남,67,1957-02-15,2,지역구,,,
7424,김태년,101,더불어민주당,18,경기 성남시수정구,남,59,1965-03-20,4,지역구,,,
7425,김태호,100,무소속,15,경남 산청군함양군거창군합천군,남,61,1962-08-21,3,지역구,,,
7426,김태흠,106,국민의힘,7,충남 보령시서천군,남,61,1963-01-11,3,지역구,,,
1685,김학용,106,국민의힘,4,경기 안성시,남,62,1961-12-10,4,지역구,,,
8743,김한규,101,더불어민주당,5,제주 제주시을,남,49,1974-07-01,1,지역구,,,
7427,김한정,101,더불어민주당,20,경기 남양주시을,남,60,1963-09-06,2,지역구,,,
7428,김형동,104,미래통합당,9,경북 안동시예천군,남,49,1975-03-25,1,지역구,,,
7429,김홍걸,101,더불어민주당,15,비례대표,남,60,1963-11-12,1,비례대표,,,
7430,김회재,101,더불어민주당,14,전남 여수시을,남,61,1962-11-24,1,지역구,,,
7431,김희곤,106,국민의힘,14,부산 동래구,남,59,1964-12-17,1,지역구,,,
7432,김희국,106,국민의힘,4,경북 군위군의성군청송군영덕군,남,65,1958-10-20,2,지역구,,,
7433,남인순,101,더불어민주당,19,서울 송파구병,여,65,1958-11-05,3,지역구,,,
8745,노용호,106,국민의힘,12,비례대표,남,53,1971-05-14,1,비례대표,,,
7434,노웅래,101,더불어민주당,22,서울 마포구갑,남,66,1957-08-03,4,지역구,,,
7435,도종환,101,더불어민주당,14,충북 청주시흥덕구,남,68,1955-09-27,3,지역구,,,
7436,류성걸,106,국민의힘,6,대구 동구갑,남,66,1957-07-12,2,지역구,,,
7437,류호정,107,정의당,23,비례대표,여,31,1992-08-09,1,비례대표,,,
7438,맹성규,101,더불어민주당,19,인천 남동구갑,남,62,1962-04-05,2,지역구,,,
7439,문정복,101,더불어민주당,12,경기 시흥시갑,여,57,1967-01-10,1,지역구,,,
7440,문진석,101,더불어민주당,5,충남 천안시갑,남,62,1962-02-12,1,지역구,,,
7441,민병덕,101,더불어민주당,5,경기 안양시동안구갑,남,53,1970-12-20,1,지역구,,,
7442,민형배,101,더불어민주당,1,광주 광산구을,남,62,1961-06-15,1,지역구,,,
7443,민홍철,101,더불어민주당,23,경남 김해시갑,남,63,1961-04-18,3,지역구,,,
7444,박광온,101,더불어민주당,6,경기 수원시정,남,67,1957-03-26,3,지역구,,,
7445,박대수,106,국민의힘,14,비례대표,남,63,1960-08-30,1,비례대표,,,
7446,박대출,104,미래통합당,6,경남 진주시갑,남,63,1961-03-18,3,지역구,,,
7447,박덕흠,104,미래통합당,18,충북 보은군옥천군영동군괴산군,남,70,1953-10-18,3,지역구,,,
7448,박범계,101,더불어민주당,9,대전 서구을,남,61,1963-04-27,3,지역구,,,
7449,박병석,101,더불어민주당,15,대전 서구갑,남,72,1952-01-25,6,지역구,,,
7450,박상혁,101,더불어민주당,5,경기 김포시을,남,51,1973-03-20,1,지역구,,,
7451,박성민,104,미래통합당,21,울산 중구,남,65,1959-04-19,1,지역구,,,
7452,박성준,101,더불어민주당,17,서울 중구성동구을,남,55,1969-04-23,1,지역구,2020-05-30,2024-05-29,
7453,박성중,106,국민의힘,1,서울 서초구을,남,65,1958-08-01,2,지역구,,,
7454,박수영,104,미래통합당,11,부산 남구갑,남,60,1964-01-07,1,지역구,,,
7455,박영순,109,새로운미래,14,대전 대덕구,남,59,1964-12-07,1,지역구,,,
