meeting_id,meeting_category,daesu,meeting_specification,commitee,number_of_meetings,chasu,meeting_date
50158,국회,21,소위원회,법제사법위원회-예산결산기금심사소위원회,381,1,2020년8월31일(월)
50242,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,382,1,2020년9월22일(화)
50262,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,382,2,2020년9월23일(수)
50403,국회,21,소위원회,법제사법위원회-예산결산기금심사소위원회,382,1,2020년11월10일(화)
50428,국회,21,소위원회,법제사법위원회-예산결산기금심사소위원회,382,2,2020년11월11일(수)
50463,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,382,3,2020년11월16일(월)
50481,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,382,4,2020년11월17일(화)
50542,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,382,5,2020년11월25일(수)
50551,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,382,6,2020년11월26일(목)
50626,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,382,7,2020년12월4일(금)
50644,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,382,8,2020년12월7일(월)
50713,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,383,1,2020년12월24일(목)
50717,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,383,2,2020년12월29일(화)
50718,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,383,3,2020년12월30일(수)
50720,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,383,5,2021년1월6일(수)
50721,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,383,4,2021년1월5일(화)
50725,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,383,6,2021년1월7일(목)
50822,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,384,1,2021년2월23일(화)
50845,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,384,2,2021년2월24일(수)
50848,국회,21,소위원회,법제사법위원회-법안심사제2소위원회,384,1,2021년2월25일(목)
50868,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,385,1,2021년3월15일(월)
50883,국회,21,소위원회,법제사법위원회-법안심사제2소위원회,385,1,2021년3월16일(화)
50915,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,385,2,2021년3월22일(월)
50988,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,386,1,2021년4월27일(화)
51072,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,388,1,2021년6월21일(월)
51083,국회,21,소위원회,법제사법위원회-법안심사제1소위원회,388,2,2021년6월22일(화)
51093,국회,21,소위원회,법제사법위원회-법안심사제2소위원회,388,1,2021년6월24일(목)
