member_id	의원명
7357	강기윤
7358	강대식
7359	강득구
7360	강민국
7361	강민정
7362	강병원
7363	강선우
8746	강성희
7364	강은미
7365	강준현
7366	강훈식
7367	고민정
7368	고영인
7369	고용진
7370	곽상도
7371	구자근
7372	권명호
7373	권성동
7374	권영세
7375	권은희
7376	권인숙
7377	권칠승
7378	기동민
7379	김경만
7380	김경협
7381	김교흥
10	김근태
7382	김기현
7383	김남국
7384	김도읍
7385	김두관
7386	김미애
7387	김민기
7388	김민석
7389	김민철
7390	김병기
7391	김병욱
7392	김병욱
7393	김병주
7394	김상훈
7395	김상희
7396	김석기
7397	김선교
7398	김성원
7399	김성주
7400	김성환
7401	김수흥
7402	김승남
7403	김승수
7404	김승원
7405	김영배
995	김영선
7406	김영식
7407	김영주
7408	김영진
7409	김영호
7410	김예지
7411	김용민
7412	김용판
7413	김웅
7414	김원이
7415	김윤덕
7416	김은혜
11	김은희
7657	김의겸
7417	김정재
7418	김정호
7419	김종민
7420	김주영
7421	김진애
7422	김진표
7423	김철민
7424	김태년
7425	김태호
7426	김태흠
1685	김학용
8743	김한규
7427	김한정
7428	김형동
7429	김홍걸
7430	김회재
7431	김희곤
7432	김희국
7433	남인순
8745	노용호
7434	노웅래
7435	도종환
7436	류성걸
7437	류호정
7438	맹성규
7439	문정복
7440	문진석
7441	민병덕
7442	민형배
7443	민홍철
7444	박광온
7445	박대수
7446	박대출
7447	박덕흠
7448	박범계
7449	박병석
7450	박상혁
7451	박성민
7452	박성준
7453	박성중
7454	박수영
7455	박영순
7456	박완수
7457	박완주
7458	박용진
7459	박재호
7460	박정
8740	박정하
7461	박주민
7462	박진
7463	박찬대
7464	박형수
7465	박홍근
7466	배준영
7467	배진교
7468	배현진
7469	백종헌
7470	백혜련
7471	변재일
7472	서동용
7473	서범수
7474	서병수
7475	서삼석
7476	서영교
7477	서영석
7478	서일준
7479	서정숙
7480	설훈
7481	성일종
7482	소병철
7483	소병훈
7484	송갑석
7485	송기헌
7486	송석준
7487	송언석
7488	송영길
7489	송옥주
7490	송재호
7491	신동근
7492	신영대
7493	신원식
7494	신정훈
7495	신현영
7496	심상정
7497	안규백
7498	안민석
7499	안병길
3394	안철수
7500	안호영
12	양경규
7501	양경숙
7502	양금희
7503	양기대
7504	양이원영
7505	양정숙
7506	양향자
7507	어기구
7508	엄태영
7509	오기형
7510	오영환
7511	오영훈
7512	용혜인
7513	우상호
13	우신구
7514	우원식
7515	위성곤
7516	유경준
7517	유기홍
7518	유동수
7519	유상범
7520	유의동
7521	유정주
7522	윤건영
7523	윤관석
7524	윤두현
7525	윤미향
7526	윤상현
7527	윤영덕
7528	윤영석
7529	윤영찬
7530	윤재갑
7531	윤재옥
7532	윤주경
7533	윤준병
7534	윤창현
7535	윤한홍
7536	윤호중
7537	윤후덕
7538	윤희숙
7539	이개호
7540	이광재
7541	이규민
7542	이낙연
7543	이달곤
7544	이동주
7545	이만희
7546	이명수
7547	이병훈
7548	이상민
7549	이상직
7550	이상헌
7551	이성만
7552	이소영
7553	이수진
7554	이수진
7555	이양수
7556	이영
7557	이용
7558	이용빈
7559	이용선
7560	이용우
7561	이용호
7562	이원욱
7563	이원택
7564	이은주
8737	이인선
7565	이인영
14	이자스민
7566	이장섭
8738	이재명
7567	이재정
7568	이정문
7569	이종배
7570	이종성
7571	이주환
7572	이채익
7573	이철규
7574	이탄희
7575	이태규
7576	이학영
7577	이해식
7578	이헌승
7579	이형석
7580	인재근
8733	임병헌
7581	임오경
7582	임이자
7583	임종성
7584	임호선
7585	장경태
8741	장동혁
7586	장제원
7587	장철민
7588	장혜영
7589	전봉민
7590	전용기
7591	전재수
7592	전주혜
7593	전해철
7594	전혜숙
7595	정경희
7596	정동만
7597	정성호
5592	정우택
7598	정운천
7599	정일영
7600	정점식
7601	정정순
7602	정진석
7603	정찬민
7604	정청래
7605	정춘숙
7606	정태호
7607	정필모
7608	정희용
7609	조경태
7610	조명희
7611	조수진
7612	조승래
7613	조오섭
8732	조은희
7614	조응천
7615	조정식
7616	조정훈
7617	조태용
7618	조해진
7619	주철현
7620	주호영
7621	지성호
7622	진선미
7623	진성준
7624	천준호
7625	최강욱
7626	최기상
7627	최승재
7628	최연숙
8744	최영희
7629	최인호
8734	최재형
7630	최종윤
7631	최춘식
7632	최형두
7633	최혜영
7634	추경호
7635	태영호
7636	하영제
7637	하태경
7638	한기호
7639	한무경
7640	한병도
7641	한정애
7642	한준호
8747	허숙정
7643	허영
7644	허은아
7645	허종식
7646	홍기원
7647	홍문표
7648	홍석준
7649	홍성국
7650	홍영표
7651	홍익표
7652	홍정민
7653	홍준표
7654	황보승희
7655	황운하
7656	황희
	
	
	
	
	
	
