committee,meeting_id,avg_precision,avg_recall,avg_f1,stdev_f1,best_f1,best_runs
gijae,52697,1.000,1.000,1.000,0.000,1.000,"#1, #2, #3, #4, #5, #6, #7, #8, #9, #10"
gyoyuk,50781,1.000,1.000,1.000,0.000,1.000,"#1, #2, #3, #4, #5, #6, #7, #8, #9, #10"
jeongbo,52665,1.000,1.000,1.000,0.000,1.000,"#1, #2, #3, #4, #5, #6, #7, #8, #9, #10"
kukbang,52737,1.000,1.000,1.000,0.000,1.000,"#1, #2, #3, #4, #5, #6, #7, #8, #9, #10"
nongchuk,52359,1.000,1.000,1.000,0.000,1.000,"#1, #2, #3, #4, #5, #6, #7, #8, #9, #10"
munche,52582,0.988,1.000,0.993,0.021,1.000,"#1, #2, #3, #5, #6, #7, #8, #9, #10"
yeoseong,52716,0.983,1.000,0.991,0.029,1.000,"#1, #3, #4, #5, #6, #7, #8, #9, #10"
gukto,51924,0.963,0.980,0.971,0.047,1.000,"#2, #4, #5, #6, #7, #8, #9"
oegyotongil,50597,0.981,0.924,0.952,0.029,0.970,"#1, #2, #5, #7, #8, #9, #10"
gwahak,51007,0.919,0.914,0.916,0.165,1.000,"#1, #2, #3, #4, #6, #7, #9"
beopje,52742,0.887,0.917,0.901,0.114,1.000,"#1, #2, #7, #9"
saneop,52894,0.900,0.900,0.900,0.316,1.000,"#1, #2, #3, #4, #5, #6, #7, #8, #9"
haengjeong,52543,0.867,0.875,0.871,0.210,1.000,"#2, #3, #4, #5, #9"
bogeon,51574,0.871,0.869,0.870,0.252,1.000,"#1, #9, #10"
hwanno,51889,0.867,0.840,0.850,0.337,1.000,"#2, #3, #4, #5, #6, #7, #8, #10"
jeongmu,50825,0.715,0.700,0.707,0.392,1.000,"#1, #3, #4, #7, #8, #9"
