committee_id,name
1,과학기술정보방송통신위원회
2,교육위원회
3,국방위원회
4,국토교통위원회
5,국회운영위원회
6,기획재정위원회
7,농림축산식품해양수산위원회
8,문화체육관광위원회
9,법제사법위원회
10,보건복지위원회
11,산업통상자원중소벤처기업위원회
12,여성가족위원회
13,연금개혁특별위원회
14,예산결산특별위원회
15,외교통일위원회
16,윤리특별위원회
17,정무위원회
18,정보위원회
19,정치개혁특별위원회
20,첨단전략산업특별위원회
21,행정안전위원회
22,환경노동위원회
23,인구위기특별위원회
24,기후위기특별위원회
25,감사원장(최재해) 임명동의에 관한 인사청문특별위원회
26,국무총리(김부겸) 임명동의에 관한 인사청문특별위원회
27,국무총리후보자(한덕수)에 관한 인사청문특별위원회
28,국회 2030 부산세계박람회 유치지원 특별위원회
29,국회상임위원회 위원 정수에 관한 규칙 개정 특별위원회
30,대법관(권영준·서경환) 임명동의에 관한 인사청문특별위원회
31,대법관(신숙희·엄상필) 임명동의에 관한 인사청문특별위원회
32,대법관(오경미) 임명동의에 관한 인사청문특별위원회
33,대법관(오석준) 임명동의에 관한 인사청문특별위원회
34,대법관(이흥구) 임명동의에 관한 인사청문특별위원회
35,대법관(천대엽) 임명동의에 관한 인사청문특별위원회
36,대법원장(이균용) 임명동의에 관한 인사청문특별위원회
37,대법원장(조희대) 임명동의에 관한 인사청문특별위원회
38,민생경제안정특별위원회
39,언론·미디어 제도개선 특별위원회
40,용산 이태원 참사 진상규명을 위한 국정조사특별위원회
41,용산 이태원 참사 진상규명과 재발방지를 위한 국정조사특별위원회
42,중앙선거관리위원회 위원(남래진) 선출에 관한 인사청문특별위원회
43,중앙선거관리위원회 위원(문상부) 선출에 관한 인사청문특별위원회
44,중앙선거관리위원회 위원(조병현·조성대) 선출에 관한 인사청문특별위원회
45,헌법재판소장(이종석) 임명동의에 관한 인사청문특별위원회
46,형사사법체계개혁특별위원회
